City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Cooma,AU,57.36,broken clouds,-36.2333,149.1333,High Country Motel
583,Bell Ville,AR,61.9,broken clouds,-32.6259,-62.6887,Hotel Central
587,Sumbawanga,TZ,55.31,overcast clouds,-7.9667,31.6167,Matamba II Guest House
588,Bandiagara,ML,67.55,clear sky,14.3501,-3.6104,Hotel de la Falaise
589,Hirado,JP,39.38,overcast clouds,33.3597,129.5531,Samson Hotel
592,Khadro,PK,51.84,clear sky,26.1472,68.7176,Bismillah Hotal bus stop Khadro
593,Lewiston,US,15.31,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
595,Necochea,AR,60.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
596,San Quintin,MX,61.32,clear sky,30.4833,-115.95,Don Eddie's Landing
600,Saint Pete Beach,US,62.02,overcast clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
602,Assiniboia,CA,26.46,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
603,Kongoussi,BF,67.87,few clouds,13.3258,-1.5347,Hôtel La Sagesse
604,Jashpurnagar,IN,45.55,clear sky,22.9,84.15,Sagar Restaurant
607,Gasa,PS,49.98,overcast clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
609,San Juan,AR,65.86,overcast clouds,-31.5375,-68.5364,Hotel Provincial
611,Strezhevoy,RU,15.78,light snow,60.7333,77.5889,Sibiryachka
616,Fort-Shevchenko,KZ,33.19,overcast clouds,44.5086,50.263,Oasis hotel Bautino
618,Bam,IR,51.31,clear sky,29.106,58.357,Bam Tourist Hotel
620,Durres,AL,44.78,overcast clouds,41.3231,19.4414,Palace Hotel & Spa Durrës
623,Qom,IR,43.14,clear sky,34.6401,50.8764,Qom Hotel
624,Novyy Rogachik,RU,18.5,few clouds,48.6768,44.0608,V Gostyakh u Baby Poli
625,Minas,UY,64.87,scattered clouds,-34.3759,-55.2377,Hotel Minas
626,Venado Tuerto,AR,62.78,scattered clouds,-33.7456,-61.9688,Hotel - Miro Park
628,Krasnyy Sulin,RU,22.28,scattered clouds,47.8922,40.0704,Гостиница ДОСААФ
629,Podporozhye,RU,16.39,snow,60.9112,34.1706,U Maksimycha
630,Kitimat,CA,41.92,overcast clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
632,Dengzhou,CN,32.14,few clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
634,Biltine,TD,62.51,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
635,Guerrero Negro,MX,66.56,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
636,Caraz,PE,61.5,light rain,-9.0486,-77.81,Hostal La Alameda
637,Aguimes,ES,65.03,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
640,Yeniseysk,RU,16.86,overcast clouds,58.4497,92.1703,"""Domino"""
641,Punakha,BT,33.01,few clouds,27.5837,89.8598,Kunzang Zhing Resort
643,Wanning,CN,66.11,overcast clouds,18.8003,110.3967,Paradise Hotel
648,Bandar-E Anzali,IR,40.44,overcast clouds,37.4727,49.4622,هتل بیاچ
649,Kulu,TR,19.62,few clouds,39.0951,33.0799,Kapadokya Motel
652,Matamoros,MX,59.11,few clouds,25.5333,-103.25,Quinta Belem
653,San Roque,ES,56.97,scattered clouds,36.2107,-5.3842,Hotel Guadacorte Park
654,Swift Current,CA,23.43,overcast clouds,50.2834,-107.8014,"Motel 6 Swift Current, SK"
655,Mwense,ZM,64.17,overcast clouds,-10.3845,28.698,Mwense Council Guest House
656,Plettenberg Bay,ZA,66.78,few clouds,-34.0527,23.3716,Thanda Vista B&B
661,Sistranda,NO,37.9,overcast clouds,63.7256,8.834,Hotell Frøya
667,Gat,IL,52.39,broken clouds,31.61,34.7642,OlusHome
669,Brigantine,US,28.02,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
675,Dawson Creek,CA,38.79,broken clouds,55.7666,-120.2362,Peace Villa Motel
677,Dolores,AR,59.58,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
678,Lerwick,GB,37.4,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
679,Tunceli,TR,25.09,broken clouds,39.1083,39.5471,Grand Hotel Şaroğlu
682,Sunrise Manor,US,66.36,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
684,Lichinga,MZ,61.09,moderate rain,-13.3128,35.2406,Residencial Bendiak
685,Nishihara,JP,58.68,few clouds,26.1842,127.7558,Minshuku Agaihama
686,Skjervoy,NO,30.24,light snow,70.0311,20.9714,Skjervøy Byggeservice AS
689,Rovaniemi,FI,22.41,overcast clouds,66.5,25.7167,Arctic City Hotel
