City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,Nunoa,-14.48,-70.6411,41.85,89,100,1.32,PE,2022-02-05 06:04:19
282,Chingirlau,51.095,54.0814,25.38,92,100,9.19,KZ,2022-02-05 06:04:20
283,Marang,5.2056,103.2059,80.33,80,83,12.37,MY,2022-02-05 06:04:20
284,Teya,60.3778,92.6267,21.51,89,100,9.33,RU,2022-02-05 06:04:20
285,Mildura,-34.2,142.15,86.07,19,75,9.22,AU,2022-02-05 06:04:20
286,Pisco,-13.7,-76.2167,66.02,88,0,0.0,PE,2022-02-05 06:04:21
287,Arroyo,41.6096,-4.7969,45.19,84,100,5.75,ES,2022-02-05 06:04:21
288,Tilichiki,60.4667,166.1,-1.26,84,100,7.58,RU,2022-02-05 06:04:21
289,Qui Nhon,13.7667,109.2333,75.25,84,72,18.99,VN,2022-02-05 06:04:21
290,Jacareacanga,-6.2222,-57.7528,72.91,98,100,2.21,BR,2022-02-05 06:04:22
291,Gurupi,-11.7292,-49.0686,72.61,90,55,1.66,BR,2022-02-05 06:04:22
292,Puerto Ayacucho,5.6639,-67.6236,75.54,79,60,2.73,VE,2022-02-05 06:04:22
293,Hurghada,27.2574,33.8129,56.98,55,3,13.2,EG,2022-02-05 06:00:48
294,Xinmin,41.9908,122.8253,23.25,35,13,15.32,CN,2022-02-05 06:04:23
